,Date,Price,RSI,MovingAverage10,EMA10,MovingAverage21,EMA21,MovingAverage50,EMA50,LowerBB,MidBB,UpperBB,MACD1,MACD2,MACD3,Momentum12,RoC12,Momentum14,RoC14,Momentum21,RoC21,AvgSentiment,TweetFreq
1697,2015-03-11,296.693329339568,83.31804928210973,281.29481379310363,279.9619943484302,262.2652469177034,267.32256468152667,246.0402769023964,260.2130820180541,222.64200462485127,263.28489656633553,303.9277885078198,13.35877555576326,10.151886079893542,3.2068894758697173,1.1629706828814492,0.1629706828814492,1.2453751366100267,0.2453751366100268,1.2572005223262754,0.2572005223262754,1.0,0.0055270592753106
1698,2015-03-12,295.800344827586,83.60273272300927,283.2425869082409,282.8416944355494,264.8332512454427,269.9114537857139,247.39819959088263,261.60866095176124,223.5909767593164,265.798375043834,308.00577332835167,13.857910857388164,10.893091035392466,2.9648198219956967,1.1602359084314515,0.1602359084314518,1.2478689301977557,0.2478689301977556,1.2229610465976566,0.2229610465976567,0.0,0.0075705625805743
1699,2015-03-13,285.911026300409,69.42995392779386,283.5630994447692,283.3997547746148,266.7561203417662,271.36596037795886,248.44347246054943,262.5616948870023,225.81895340951928,267.8141262273524,309.8092990451855,13.302154862392,11.374903800792373,1.9272510615996288,1.0969099042084771,0.0969099042084771,1.1207064959636035,0.1207064959636035,1.1644610577926011,0.1644610577926011,1.0,0.0071316893874976
1700,2015-03-14,283.608306253653,67.60894978764216,284.5791764172999,283.437673225349,268.56623003812865,272.47890091211286,249.45298153711283,263.3870521954984,230.29762031599824,270.16000812390416,310.0223959318101,12.531449223125094,11.606212885258918,0.925236337866176,1.0263666171961487,0.0263666171961486,1.1124143247253762,0.112414324725376,1.1547757423433014,0.1547757423433013,1.0,0.0063362317250459
1701,2015-03-15,287.270142022209,66.77565485197027,285.6793097019287,284.134485733869,270.9747764047758,273.8235591948489,250.21674189947404,264.32364395340863,234.85232554928632,272.5702143337229,310.2881031181595,12.076923735457513,11.700355055298637,0.3765686801588757,1.0161448384062215,0.0161448384062218,1.102124209915741,0.1021242099157408,1.2136944141399326,0.2136944141399327,1.0,0.0064048056614641
1702,2015-03-16,291.392118059614,61.11511945595152,287.48671002337807,285.4540552476408,273.4664954635273,275.4207009098276,250.9542254354179,265.3851527418873,239.873831848992,275.1463571303331,310.41888241167425,11.912003863653808,11.742684816969671,0.1693190466841372,1.0656234894601355,0.0656234894601357,1.0545359070794655,0.0545359070794655,1.2188771984812254,0.2188771984812253,0.0,0.0056367775735798
1703,2015-03-17,285.248396551724,51.88197090552829,288.3712139392168,285.41666275747406,275.62740662658985,276.31412778636354,251.1801484687317,266.1641034795279,246.58489022539305,277.49697140561074,308.4090525858285,11.156946363877296,11.625537126351196,-0.4685907624738998,1.0325030806140878,0.0325030806140878,1.0089934295965808,0.0089934295965807,1.1891827824117334,0.1891827824117332,1.0,0.0060070768302383
1704,2015-03-18,257.286160140269,40.63137087931708,286.5660265634132,280.30202591798223,276.53455182154687,274.5843125458095,251.0307955815313,265.81594883877267,252.18926590673496,278.5090592928113,304.82885267888764,8.207626656142907,10.941955032309538,-2.734328376166632,0.9413432413217988,-0.058656758678201,0.9408977071314676,-0.0591022928685324,1.0799628948375712,0.0799628948375711,1.0,0.0061442247030748
1705,2015-03-19,262.092947983635,41.96727075196012,283.762315458796,276.9912844753736,277.72733970666,273.4487339492481,251.55793773232028,265.6699488052379,253.68339842078112,278.85786797194623,304.0323375231114,6.186819343785942,9.99092789460482,-3.804108550818878,0.9482263546121203,-0.0517736453878796,0.9486881590630118,-0.0513118409369881,1.1056702682457913,0.1056702682457913,1.0,0.0070082563019447
1706,2015-03-20,262.966492109877,43.99285965496946,280.8269263588544,274.44132222710147,278.1011357880382,272.4958028729417,252.1381201052017,265.5639308956159,255.470262768745,279.2587701490356,303.04727752932627,4.602745119459655,8.913291339575787,-4.310546220116132,0.9550678066038728,-0.044932193396127,0.9621261007851274,-0.0378738992148725,1.0307691163286878,0.0307691163286878,1.0,0.0055270592753106
