,Time,Price,RSI,MovingAverage10,EMA10,MovingAverage21,EMA21,MovingAverage50,EMA50,LowerBB,MidBB,UpperBB,MACD1,MACD2,MACD3,Momentum12,RoC12,Momentum14,RoC14,Momentum21,RoC21,signals_30d
0,"""2010-07-18""",0.08584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"""2010-07-19""",0.0808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"""2010-07-20""",0.0747357288135593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"""2010-07-21""",0.0791928626534191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"""2010-07-22""",0.0584697603740503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,"""2010-07-23""",0.0605928696668615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,"""2010-07-24""",0.05454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,"""2010-07-25""",0.050540618351841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,"""2010-07-26""",0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,"""2010-07-27""",0.058622016364699,0.0,0.06593338562244302,0.06593338562244302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,"""2010-07-28""",0.0589110987726476,0.0,0.06324049549970777,0.0646566061952075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,"""2010-07-29""",0.0699,0.0,0.06215049549970778,0.06560995052335158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"""2010-07-30""",0.064657381648159,0.0,0.06114266078316775,0.06543675618240748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753231379871377,-0.24676862012862302,0.0,0.0,0.0,0.0,0.0
13,"""2010-07-31""",0.0675457989479836,37.956463230761734,0.0599779544126242,0.06582021850342132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8359628582671238,-0.16403714173287623,0.0,0.0,0.0,0.0,0.0
14,"""2010-08-01""",0.0611,34.98715063232508,0.060240978375219176,0.06496199695734471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175473895815495,-0.1824526104184505,0.711789375582479,-0.28821062441752093,0.0,0.0,0.0
15,"""2010-08-02""",0.06,36.744176552812476,0.06018169140853302,0.06405981569237294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7576440349502827,-0.2423559650497173,0.7425742574257426,-0.25742574257425743,0.0,0.0,1.0
16,"""2010-08-03""",0.0600121507890123,39.83233979249906,0.06072890648743425,0.06332387661903464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0263792840109969,0.02637928401099681,0.8029914438744898,-0.19700855612551016,0.0,0.0,1.0
17,"""2010-08-04""",0.0570157802454705,34.36983230120231,0.0613764226767972,0.06217695000565934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9409651755881877,-0.05903482441181231,0.7199610966836149,-0.28003890331638515,0.0,0.0,1.0
18,"""2010-08-05""",0.061,52.333983455546246,0.0618764226767972,0.061962959095539456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1184451778511184,0.11844517785111845,1.0432743286403592,0.0432743286403591,0.0,0.0,1.0
19,"""2010-08-06""",0.0616713150204559,51.02217418102423,0.06218135254237288,0.061909932900069714,0.0,0.0,0.0,0.0,0.04520488427370048,0.06405736908240796,0.08290985389111544,0.0,0.0,0.0,1.2202326966229025,0.22023269662290243,1.0177982221261952,0.01779822212619528,0.0,0.0,0.0
